 6 2 7 7
136: 0 2 5 4
137: 9 0 9 2
138: 1 5 4 9
139: 8 7 3 0
140: 4 0 6 8
141: 0 6 7 6
142: 9 5 7 9
143: 3 5 8 7
144: 7 3 8 3
145: 8 7 3 9
146: 9 1 4 7
147: 8 8 9 0
148: 3 4 8 5
149: 8 3 1 7
150: 9 7 9 0
151: 4 2 3 9
152: 2 1 7 3
153: 1 2 0 2
154: 7 1 5 7
155: 1 7 1 4
156: 0 7 1 1
157: 5 8 0 4
158: 2 6 6 1
159: 4 6 9 1
160: 1 8 0 8
161: 9 2 2 0
162: 4 6 5 7
163: 9 7 3 6
164: 1 9 4 7
165: 0 6 0 7
166: 9 3 5 8
167: 4 5 1 4
168: 4 5 5 1
169: 8 3 8 9
170: 2 2 2 5
171: 4 3 0 7
172: 3 6 3 6
173: 3 4 4 3
174: 5 2 7 9
175: 2 0 9 8
176: 5 6 7 4
177: 3 3 1 7
178: 1 5 8 3
179: 6 7 8 0
180: 8 0 5 3
181: 1 1 4 0
182: 3 9 5 3
183: 0 5 1 4
184: 6 5 3 8
185: 0 9 9 5
186: 7 3 6 7
187: 0 5 1 6
188: 8 0 5 6
189: 6 2 2 1
190: 4 0 1 9
191: 0 4 7 2
192: 0 8 2 3
193: 0 0 7 3
194: 2 9 4 3
195: 5 2 4 7
196: 3 4 4 2
197: 8 0 6 8
198: 3 2 2 9
199: 4 3 8 1
200: 5 4 2 2
201: 7 5 7 1
202: 8 9 6 1
203: 3 3 3 1
204: 6 8 9 7
205: 8 4 0 7
206: 6 1 8 4
207: 1 2 5 8
208: 0 6 9 9
209: 9 9 4 6
210: 3 9 8 0
211: 9 8 4 1
212: 3 7 7 6
213: 2 2 1 7
214: 9 0 5 1
215: 1 0 4 0
216: 1 4 7 3
217: 3 0 3 1
218: 5 7 1 2
219: 2 4 5 6
220: 2 7 1 2
221: 5 6 1 4
222: 9 5 8 7
223: 6 3 7 2
224: 7 9 7 4
225: 6 1 2 2
226: 1 2 0 3
227: 0 5 6 5
228: 6 4 3 0
